"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"	"Effort"	"Attend"	"Anx"
57	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	6	"Present"	7	7	4
58	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	16	"Absent"	3	3	4
59	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	2	4	1
60	"WITnumErr_ww"	28	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	21	"Absent"	7	7	1
61	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	19	"Present"	7	7	6
62	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	15	"Absent"	7	7	5
63	"WITnumErr_ww"	35	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	31	"Present"	5	5	5
64	"WITnumErr_ww"	25	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	24	"Absent"	6	3	2
65	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	13	"Present"	4	3	2
66	"WITnumErr_ww"	23	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	14	9	"Absent"	6	6	4
67	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	9	"Present"	7	7	3
68	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	20	"Absent"	6	5	3
69	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	19	"Present"	4	5	5
70	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	27	"Absent"	6	6	7
71	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	20	"Present"	5	5	6
72	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	24	"Absent"	5	7	2
73	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	16	8	"Present"	4	6	5
74	"WITnumErr_ww"	9	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	3	"Absent"	6	5	4
75	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	22	"Present"	7	5	5
76	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	6	"Absent"	6	6	5
77	"WITnumErr_ww"	25	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	12	13	"Present"	6	6	5
78	"WITnumErr_ww"	12	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	10	"Absent"	7	7	5
79	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	26	"Present"	7	7	5
80	"WITnumErr_ww"	14	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	13	"Absent"	5	4	5
81	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	13	"Present"	6	6	4
82	"WITnumErr_ww"	32	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	17	15	"Absent"	4	4	3
83	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	14	3	"Present"	6	5	3
