"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
47	"AP"	"Present"	0.270833333333333	0.285714285714286	0.375	0.566666666666667	0.322916666666667	-0.173024587904255	-0.0514301348793184
48	"AP"	"Absent"	0.104166666666667	0.302325581395349	0.25	0.25	0.177083333333333	-0.0784229315548587	-0.11424877920234
49	"AP"	"Present"	0.145833333333333	0.560975609756098	0.270833333333333	0.685714285714286	0.208333333333333	0.0729170516757768	-0.0898901162596147
50	"AP"	"Absent"	0.270833333333333	0.428571428571429	0.375	0.366666666666667	0.322916666666667	0.0190896248486771	-0.0514301348793185
51	"AP"	"Present"	0.458333333333333	0.384615384615385	0.583333333333333	0.55	0.520833333333333	-0.0700187331785074	-0.0370101721187264
52	"AP"	"Absent"	0.375	0.5	0.333333333333333	0.53125	0.354166666666667	0.0499837325088383	0.0873525392352297
54	"AP"	"Absent"	0.5	0.666666666666667	0.333333333333333	0.40625	0.416666666666667	0.247436067860373	0.21235253923523
55	"AP"	"Present"	0.229166666666667	0.567567567567568	0.0625	0.4	0.145833333333333	0.149876252195518	0.166523254313127
56	"AP"	"Absent"	0.5	0.416666666666667	0.479166666666667	0.4	0.489583333333333	-0.00102464870538307	0.0911965131676443
57	"AP"	"Present"	0.625	0.5	0.645833333333333	0.470588235294118	0.635416666666667	0.0649238364294362	0.077732483376118
58	"AP"	"Absent"	0.291666666666667	0.558823529411765	0.3125	0.606060606060606	0.302083333333333	0.0903825056622347	0.0213272096258372
59	"AP"	"Present"	0.0833333333333333	0.181818181818182	0	0.3125	0.0416666666666667	-0.21432316547446	0.0726139321516155
60	"AP"	"Absent"	0.104166666666667	0.511627906976744	0.291666666666667	0.352941176470588	0.197916666666667	0.105526490403704	-0.148864786650222
61	"AP"	"Present"	-0.0416666666666666	0.52	0.166666666666667	0.425	0.0625	0.0961515508909765	-0.190850097639911
62	"AP"	"Absent"	0.541666666666667	0.545454545454545	0.75	0.416666666666667	0.645833333333333	0.123658474257847	-0.0921408685769192
63	"AP"	"Present"	0.145833333333333	0.268292682926829	0.458333333333333	0.461538461538462	0.302083333333333	-0.164554653951617	-0.245662149775082
65	"AP"	"Present"	0.416666666666667	0.392857142857143	0.208333333333333	0.263157894736842	0.3125	0.00886803320326499	0.232867228245541
66	"AP"	"Absent"	0.229166666666667	0.45945945945946	0.458333333333333	0.346153846153846	0.34375	0.055029662905507	-0.162328816441748
67	"AP"	"Present"	0.354166666666667	0.451612903225807	0.479166666666667	0.48	0.416666666666667	0.014218759895441	-0.054636820165689
68	"AP"	"Absent"	0.1875	0.512820512820513	0.0416666666666666	0.608695652173913	0.114583333333333	0.0437305158180739	0.142164591370401
69	"AP"	"Present"	0.520833333333333	0.347826086956522	0.354166666666667	0.516129032258065	0.4375	-0.0984661077098575	0.215877868844622
70	"AP"	"Absent"	0.416666666666667	0.428571428571429	0.354166666666667	0.774193548387097	0.385416666666667	-0.081278275637905	0.111711202177956
71	"AP"	"Present"	0.583333333333333	0.65	0.479166666666667	0.6	0.53125	0.18305161473216	0.174529846500978
72	"AP"	"Absent"	0.166666666666667	0.425	0.270833333333333	0.514285714285714	0.21875	-0.0208382124553581	-0.0690567829262813
73	"AP"	"Present"	0.291666666666667	0.529411764705882	0.479166666666667	0.32	0.385416666666667	0.131423277292148	-0.117136820165689
74	"AP"	"Absent"	0.645833333333333	0.352941176470588	0.645833333333333	0.235294117647059	0.645833333333333	-0.0241854931049289	0.0985658167094514
75	"AP"	"Present"	0.0416666666666667	0.456521739130435	0.0208333333333334	0.574468085106383	0.03125	-0.00413850955496336	0.0136392617610081
76	"AP"	"Absent"	0.479166666666667	0.28	0.625	0.555555555555556	0.552083333333333	-0.176002369735442	-0.0507928462332746
77	"AP"	"Present"	0.5	0.708333333333333	0.479166666666667	0.08	0.489583333333333	0.369453329794547	0.0911965131676442
78	"AP"	"Absent"	0.5	0.375	0.416666666666667	0.25	0.458333333333333	-0.00574851295020753	0.143120524339467
79	"AP"	"Present"	0.4375	0.37037037037037	0.458333333333333	0.5	0.447916666666667	-0.0719494799495741	0.046004516891585
